id,last_scraped,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,host_is_superhost,instant_bookable,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
13188,2023-12-14,Riley Park,49.24773,-123.10509,Entire home/apt,4,1 bath,2,$150.00,2,FALSE,TRUE,283,4.84,0,1
13221,2023-12-14,Riley Park,49.25489,-123.09708,Entire home/apt,4,1 bath,2,$120.00,31,FALSE,FALSE,15,4.73,363,1
13358,2023-12-14,Downtown,49.28117370605469,-123.1259307861328,Entire home/apt,2,1 bath,1,$165.00,1,FALSE,FALSE,493,4.68,0,1
13490,2023-12-13,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,2,1 bath,1,$150.00,30,TRUE,FALSE,101,4.93,92,1
14267,2023-12-13,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,4,1 bath,2,$150.00,3,FALSE,TRUE,33,4.76,17,1
16254,2023-12-14,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,4,1 bath,3,$800.00,5,FALSE,FALSE,7,4.57,0,1
16611,2023-12-14,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,6,1 bath,4,$100.00,365,FALSE,FALSE,3,4,89,5
17765,2023-12-14,Mount Pleasant,49.26132,-123.10845,Entire home/apt,2,1 bath,1,NA,5,FALSE,FALSE,203,4.6,0,1
18024,2023-12-14,Kensington-Cedar Cottage,49.24781,-123.07241,Private room,6,1 private bath,3,NA,30,FALSE,FALSE,0,NA,0,1
18270,2023-12-14,Mount Pleasant,49.26557,-123.096,Private room,2,1 shared bath,1,$51.00,30,FALSE,FALSE,118,4.54,234,1
18589,2023-12-14,Grandview-Woodland,49.27569,-123.07057,Private room,2,1 private bath,1,$99.00,1,TRUE,FALSE,514,4.98,0,1
18795,2023-12-14,West End,49.28299,-123.13008,Private room,2,1 private bath,1,$75.00,30,FALSE,FALSE,131,4.56,339,4
19621,2023-12-14,Downtown,49.27323,-123.12032,Entire home/apt,3,2 baths,2,$250.00,30,FALSE,FALSE,2,4,130,2
20085,2023-12-14,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,3,1 bath,2,$99.00,30,FALSE,FALSE,78,4.8,357,1
21912,2023-12-13,Renfrew-Collingwood,49.23361,-123.05283,Private room,1,1 private bath,1,$70.00,30,TRUE,FALSE,398,4.72,137,4
21913,2023-12-14,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,2,1 bath,1,$72.00,30,TRUE,FALSE,233,4.75,135,4
24273,2023-12-13,Kitsilano,49.26216,-123.1715,Entire home/apt,6,1 bath,3,$150.00,30,FALSE,FALSE,17,5,242,2
26047,2023-12-14,Downtown,49.28086,-123.12375,Entire home/apt,2,1 bath,2,$169.00,30,TRUE,FALSE,44,4.75,97,4
33150,2023-12-13,Riley Park,49.24677,-123.1048,Entire home/apt,3,1 bath,2,$125.00,4,TRUE,FALSE,129,4.97,299,1
35304,2023-12-13,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,2,1 bath,1,$99.00,3,TRUE,FALSE,586,4.76,279,1
42645,2023-12-14,Downtown,49.28036,-123.1234,Entire home/apt,3,1 bath,2,$169.00,30,TRUE,TRUE,33,4.79,151,4
